blank,ask_code,topic,en,ko,ru,zh,mn,zh_py,note
,vm377,vm1,help,돕다,помогать,帮助/帮忙,туслах,bang1 zhu4 ,
,vm378,vm3,help each other,서로 돕다,помогать друг другу,互助,туслалцах,hu4 zhu4 ,
,vm379,vm2,save,구하다,спасать,救(救人的+),аврах,jiu4 (jiu4 ren2 de +),
,vm380,vm2,"heal, cure",치료하다/고치다,лечить,医治/治疗,эмчлэх,yi1 zhi4 /zhi4 liao2,
,vm381,vm1,get well,낫다(治),выздоравливать,痊愈/病好了,эдгэх,quan2 yu4/bing4 hao3 le,
,vm382,vm2,go mad,미치다,сходить с ума,癫狂/疯狂,галзуурах,dian1 kuang2 /feng1 kuang2,
,vm383,vm1,wait,기다리다,ждать,等候,хүлээх,deng3 hou4 ,
,vm384,vm1,drive,몰다(소 떼를+),гнать (напр. стадо коров),赶(赶牛群的+),туух,gan3 (gan3 niu2 qun2 de +) ,
,vm385,vm2,"deprive, rob",빼앗다,отнимать,抢(抢东西的+）,булаах,qiang3 (qiang3 dong1 xi de +),
,vm386,vm3,exploit,착취하다,эксплуатировать,剥削,мөлжих,bo1 xue1 ,
,vm387,vm3,press,압박하다,давить,压迫(肿瘤压迫神经的+),дарлах,ya1 po4 (zhong3 liu2 ya1 po4 shen2 jing1 de +),
,vm388,vm1,steal,훔치다,красть,偷(偷东西的+),хулгайлах,tou1 (tou1 dong1 xi de +),
,vm389,vm2,deceive,속이다,обманывать,骗(骗小孩儿的+),хуурах,pian4 (pian4 xiao3 hai2r de +),
,vm390,vm2,be deceived,속다,быть обманутым,被骗,хууртах,bei4 pian4,
,vm391,vm2,doubt,의심하다(-가 아닐 것이라고+),сомневаться,怀疑(我怀疑不是他的+),эргэлзэх,huai2 yi2 (wo3 huai2 yi2 bu2 shi4 ta1 de +),
,vm392,vm2,suspect,의심하다(-일 것이라고+),подозревать,猜/怀疑,хардах,cai1 /huai2 yi2,
,vm393,vm1,believe,믿다,верить,相信,итгэх,xiang1 xin4 ,
,vm394,vm2,remember,기억하다,помнить,记得,санах,ji4 de ,
,vm395,vm1,forget,잊어버리다,забывать,忘记,мартах,wang4 ji4 ,
,vm396,vm2,to come to mind,생각나다,вспоминать,想起来,санаанд орох,xiang3 qi3 lai2 ,
,vm397,vm2,be tired of,싫증나다,надоедать,厌倦,залхах,yan4 juan4 ,
,vm398,vm3,get sick of,물리다(飽),приедаться,腻(吃腻了的+),дургүй хүрэх,ni4 (chi1 ni4 le de +),
,vm399,vm3,can/be able to,~할 수 있다,мочь,能(我能写字的+),чадах,neng2 (wo3 neng2 xie3 zi4 de +),
,vm400,vm1,know how to,~할 줄 알다,уметь,会(我会说英语的+),чадах,hui4 (wo3 hui4 shuo1 ying1 yu3 de +),
,vm401,vm2,"pass, go by",지나가다(공간을+),проходить мимо чего-л.,经过(经过家乡的+),ɵнгɵрɵх (ойг+),jing1 guo4 (jing1 guo4 jia1 xiang1 de +),
,vm402,vm2,go through,통과하다,проходить через что-л.,走过／通过,нэвтрэх,zou3 guo4 /tong1 guo4 ,
,vm403,vm2,past(v),지나가다(시간이+),проходить (время),过去(春天过去了的+),ɵнгɵрɵх (хавар+),guo4 qu (chun1 tian1 guo4 qu le de +),
,vm404,vm2,go across,가로지르다/건너다(길을+),переходить (улицу),横过/过(过马路的+),огтлох,heng2 guo4 /guo4 (guo4 ma3 lu4 de +),
,vm405,vm2,go over ridge,넘다(고개를+),заходить (за перевал),翻过,давах,fan1 guo4 ,
,vm406,vm1,climb,오르다(산에+),подниматься (в гору),上(上山的+),ууланд гарах,shang4 (shang4 shan1 de +) ,
,vm407,vm1,climb down,하산하다,спускаться с горы,下(下山的+),уулнаас уруудах,xia4 (xia4 shan1 de +) ,
,vm408,vm1,climb,오르다(말에+),сесть (на лошадь),上(上马的+),унах,shang4 (shang4 ma3 de +) ,
,vm409,vm1,come down,내리다(말에서+),сходить (с лошади),下(下马的+),буух,xia4 (xia4 ma3 de +),
,vm410,vm2,"go down, descend",내려오다,спускаться,下来,бууж ирэх,xia4 lai2,
,vm411,vm2,flow,흐르다,течь,流(流淌的+),урсах,liu2 (liu2 tang3 de +),
,vm412,vm2,overflow,넘치다(물이+),переливаться,溢(溢出来的+),бялхах,yi4 (yi4 chu1 lai2 de +),
,vm413,vm2,float,뜨다,плавать (держаться на воде),浮(浮出水面的+),хөвөх,fu2 (fu2 chu1 shui3 mian4 de +),
,vm414,vm2,drift,떠돌다/표류하다,плавать по течению,漂(漂泊的+),тэнэх,piao1 (piao1 bo2 de +),
,vm415,vm2,thaw,녹다(얼음이+),таять,解冰,хайлах,jie3 bing1 ,
,vm416,vm2,melt,녹다(溶),растворяться,融化,уусах,rong2 hua4 ,
,vm417,vm2,destroy,파괴하다,разрушать,弄坏／毁坏,сүйтэх,nong4 huai4 /hui3 huai4 ,
,vm418,vm2,fall down,무너지다,обваливаться,倒塌,нурах,dao3 ta1 ,
,vm419,vm2,lack,모자라다,недоставать,缺(缺东西的+),дутагдах,que1 (que1 dong1 xi de +),
,vm420,vm2,"enough, full",충분하다(돈이+),хватать (У меня хватает денег.),够(东西够了的+),хүрэлцээтэй,gou4 (dong1 xi gou4 le de +),
,vm421,vm2,roll,구르다,катиться,滚(滚开的+),өнхрөх,gun3 (gun3 kai1 de +),
,vm422,vm2,leak out,새다,протекать,漏(漏水的+),гоожих,lou4 (lou4 shui3 de+),
,vm423,vm2,drop,떨어지다(물방울이나 비 따위가+),капать,滴(滴水的+),дуслах,di1 (di1 shui3 de +) ,
,vm424,vm1,boil(vt),끓이다(물을+),кипятить,烧(烧水的+),буцалгах,shao1 (shao1 shui3 de +),
,vm425,vm1,boil(vi),끓다(물이+),кипеть,开(水开了的+),буцлах,kai1 (shui3 kai1 le de +),
,vm426,vm1,bear,낳다(아이를+),родить (ребёнка),生(生孩子的+),төрүүлэх,sheng1 (sheng1 hai2 zi de +),
,vm427,vm1,breed,낳다(새끼를+),родить (детёныша),下(下牛犊的+),зулзагалах,xia4 (xia4 niu2 du2 de +) ,
,vm428,vm1,be born,태어나다,родиться,出生,төрөх,chu1 sheng1 ,
,vm429,vm1,live,살다,жить,活(活着的+),амьдрах,huo2 (huo2 zhe de +),
,vm430,vm1,die,죽다,умереть,死(死去的+),үхэх,si3 (si3 qu4 de +),
,vm431,vm2,tremble,떨다,дрожать,发抖,чичрэх,fa1 dou3 ,
,vm432,vm2,hatch,부화하다(병아리를+),выводить (цыплят),孵(孵小鸡的+),өндөг дарах,fu1 (fu2 xiao3 ji1 de +),
,vm433,vm2,ruminate,반추하다,пережёвывать (жвачное животное),反刍,хивэх,fan3 chu2 ,
,vm434,vm1,yoke horse,메우다(마구를+),запрягать,套(套马的+),буулгах,tao4 (tao4 ma3 de +),
